wav_filename,transcript,version,path
bat_den.wav,bật đèn,,D:\development\hass_whisper_finetune\audio\
tat_den.wav,tắt đèn,,
bat_den_1.wav,bật đèn 1,,
bat_den_2.wav,bật đèn 2,,
bat_den_3.wav,bật đèn 3,,
bat_den_4.wav,bật đèn 4,,
tat_den_1.wav,tắt đèn 1,,
tat_den_2.wav,tắt đèn 2,,
tat_den_3.wav,tắt đèn 3,,
tat_den_4.wav,tắt đèn 4,,
bat_dieu_hoa.wav,bật điều hòa,,
tat_dieu_hoa.wav,tắt điều hòa,,
bat_dieu_hoa_1.wav,bật điều hòa 1,,
bat_dieu_hoa_2.wav,bật điều hòa 2,,
bat_dieu_hoa_3.wav,bật điều hòa 3,,
bat_dieu_hoa_4.wav,bật điều hòa 4,,
tat_dieu_hoa_1.wav,tắt điều hòa 1,,
tat_dieu_hoa_2.wav,tắt điều hòa 2,,
tat_dieu_hoa_3.wav,tắt điều hòa 3,,
tat_dieu_hoa_4.wav,tắt điều hòa 4,,
bat_dieu_hoa_phong_ngu_1.wav,bật điều hoà phòng ngủ 1,,
bat_dieu_hoa_phong_ngu_2.wav,bật điều hoà phòng ngủ 2,,
tat_dieu_hoa_phong_ngu_1.wav,tắt điều hoà phòng ngủ 1,,
tat_dieu_hoa_phong_ngu_2.wav,tắt điều hoà phòng ngủ 2,,
bat_dieu_hoa_nhiet_do_29.wav,bật điều hoà nhiệt độ 29,,
bat_dieu_hoa_nhiet_do_28.wav,bật điều hoà nhiệt độ 28,,
bat_dieu_hoa_nhiet_do_27.wav,bật điều hoà nhiệt độ 27,,
bat_dieu_hoa_nhiet_do_26.wav,bật điều hoà nhiệt độ 26,,
bat_dieu_hoa_nhiet_do_25.wav,bật điều hoà nhiệt độ 25,,
bat_che_do_mat_dieu_hoa.wav,bật chế độ mát điều hoà,,
bat_dieu_hoa_1_nhiet_do_29.wav,bật điều hòa 1 nhiệt độ 29,,
bat_dieu_hoa_1_nhiet_do_28.wav,bật điều hoà 1 nhiệt độ 28,,
bat_dieu_hoa_1_nhiet_do_27.wav,bật điều hoà 1 nhiệt độ 27,,
bat_dieu_hoa_1_nhiet_do_26.wav,bật điều hoà 1 nhiệt độ 26,,
bat_dieu_hoa_1_nhiet_do_25.wav,bật điều hoà 1 nhiệt độ 25,,
bat_dieu_hoa_2_nhiet_do_29.wav,bật điều hòa 2 nhiệt độ 29,,
bat_dieu_hoa_2_nhiet_do_28.wav,bật điều hoà 2 nhiệt độ 28,,
bat_dieu_hoa_2_nhiet_do_27.wav,bật điều hoà 2 nhiệt độ 27,,
bat_dieu_hoa_2_nhiet_do_26.wav,bật điều hoà 2 nhiệt độ 26,,
bat_dieu_hoa_2_nhiet_do_25.wav,bật điều hoà 2 nhiệt độ 25,,
bat_quat_tran.wav,bật quạt trần,,
tat_quat_tran.wav,tắt quạt trần,,
bat_quay_tran_so_1.wav,bật quạt trần số 1,,
bat_quat_tran_so_2.wav,bật quạt trần số 2,,
bat_quat_tran_so_3.wav,bật quạt trần số 3,,
bat_TV_phong_ngu.wav,bật TV phòng ngủ,,
bat_TV_phong_khach.wav,bật TV phòng khách,,
tat_TV_phong_ngu.wav,tắt TV phòng ngủ,,
tat_TV_phong_khach.wav,tắt TV phòng khách,,
bat_den_ngu.wav,bật đèn ngủ,,
tat_den_ngu.wav,tắt đèn ngủ,,
bat_den_giuong_ngu.wav,bật đèn giường ngủ,,
tat_den_giuong_ngu.wav,tắt đèn giường ngủ,,
bat_den_phong_ngu_1.wav,bật đèn phòng ngủ 1,,
bat_den_phong_ngu_2.wav,bật đèn phòng ngủ 2,,
bat_den_phong_ngu_3.wav,bật đèn phòng ngủ 3,,
bat_den_phong_ngu_4.wav,bật đèn phòng ngủ 4,,
tat_den_phong_ngu_1.wav,tắt đèn phòng ngủ 1,,
tat_den_phong_ngu_2.wav,tắt đèn phòng ngủ 2,,
tat_den_phong_ngu_3.wav,tắt đèn phòng ngủ 3,,
tat_den_phong_ngu_4.wav,tắt đèn phòng ngủ 4,,
bat_che_do_ngu.wav,bật chế độ ngủ,,
bat_den_phong_khach.wav,bật đèn phòng khách,,
tat_den_phong_khach.wav,tắt đèn phòng khách,,
bat_den_1_phong_khach.wav,bật đèn 1 phòng khách,,
bat_den_2_phong_khach.wav,bật đèn 2 phòng khách,,
tat_den_1_phong_khach.wav,tắt đèn 1 phòng khách,,
tat_den_2_phong_khach.wav,tắt đèn 2 phòng khách,,
bat_den_1_bep.wav,bật đèn bếp 1,,
tat_den_bep_1.wav,tắt đèn bếp 1,,
bat_den_bep_2.wav,bật đèn bếp 2,,
tat_den_bep_2.wav,tắt đèn bếp 2,,
bat_den_1_bep.wav,bật đèn 1 bếp,,
tat_den_1_bep.wav,tắt đèn 1 bếp,,
bat_den_2_bep.wav,bật đèn 2 bếp,,
tat_den_2_bep.wav,tắt đèn 2 bếp,,
bat_quat_phong_ngu.wav,bật quạt phòng ngủ,,
tat_quat_phong_ngu.wav,tắt quạt phòng ngủ,,
bat_quat_phong_ngu_1.wav,bật quạt phòng ngủ 1,,
tat_quat_phong_ngu_1.wav,tắt quạt phòng ngủ 1,,
bat_quat_phong_ngu_2.wav,bật quạt phòng ngủ 2,,
tat_quat_phong_ngu_2.wav,tắt quạt phòng ngủ 2,,
xoay_quat_phong_ngu.wav,xoay quạt phòng ngủ,,
xoay_quat_phong_ngu_1.wav,xoay quạt phòng ngủ 1,,
xoay_quat_phong_ngu_2.wav,xoay quạt phòng ngủ 2,,
tang_toc_do_quat_phong_ngu.wav,tăng tốc độ quạt phòng ngủ,,
tang_toc_do_quat_phong_ngu_1.wav,tăng tốc độ quạt phòng ngủ 1,,
tang_toc_do_quat_phong_ngu_2.wav,tăng tốc độ quạt phòng ngủ 2,,
don dep phong ngu.wav,Dọn dẹp phòng ngủ,v1,
,Dọn dẹp phòng ngủ,v2,
don dep phong chinh.wav,Dọn dẹp phòng chính,,
don dep phong sinh hoat.wav,Dọn dẹp phòng sinh hoạt,,
don_dep_phong_khach.wav,Dọn dẹp phòng khách,,
don_dep_bep.wav,Dọn dẹp bếp,,
sac_robot.wav,sạc robot,,
lau_phong_chinh.wav,lau phòng chính,,
bat_may_tinh_ban_phong_khach.wav,bật máy tính bàn phòng khách,,
bat_may_tinh_ban_phong_ngu.wav,bật máy tính bàn phòng ngủ,,
bat_may_tinh_ban_phong_ngu_1.wav,bật máy tính bàn phòng ngủ 1,,
bat_may_tinh_ban_phong_ngu_2.wav,bật máy tính bàn phòng ngủ 2,,
